demand_id,demand_col
다바806430,6.0
다바758350,87.0
다바769344,53.0
다바833335,70.0
다바810440,8.0
다바812436,62.0
다바801295,10.0
다바815450,68.0
다바787347,101.0
다바779326,33.0
다바821322,48.0
다바803310,25.0
다바819435,75.0
다바772353,39.0
다바821440,52.0
다바776339,34.0
다바776318,120.0
다바769340,42.0
다바789350,150.0
다바774331,23.0
다바770355,35.0
다바799304,10.0
다바759351,60.0
다바779342,23.0
다바837328,80.0
다바766351,30.0
다바763358,55.0
다바828336,144.0
다바836328,14.0
다바773318,72.0
다바757348,29.0
다바777305,66.0
다바783310,91.0
다바774324,28.0
다바776327,178.0
다바777340,61.0
다바769338,47.0
다바809309,60.0
다바779329,91.0
다바775323,104.0
다바831332,14.0
다바773320,126.0
다바763343,149.0
다바808308,33.0
다바785314,42.0
다바804309,17.0
다바773314,111.0
다바790352,6.0
다바770327,123.0
다바777330,28.0
다바789346,45.0
다바815311,36.0
다바777308,64.0
다바811485,15.0
다바765344,119.0
다바768340,46.0
다바802308,73.0
다바781319,14.0
다바778341,106.0
다바771325,166.0
다바777315,38.0
다바820447,6.0
다바763359,121.0
다바782315,31.0
다바769336,29.0
다바818437,41.0
다바756350,31.0
다바801304,34.0
다바777323,96.0
다바757351,92.0
다바770340,56.0
다바776330,70.0
다바793341,49.0
다바756351,60.0
다바772350,27.0
다바773351,36.0
다바789364,88.0
다바809310,149.0
다바772356,37.0
다바769329,9.0
다바788347,98.0
다바774345,106.0
다바811439,65.0
다바780305,50.0
다바814309,57.0
다바759349,38.0
다바772328,90.0
다바778329,28.0
다바775347,126.0
다바774342,37.0
다바779325,27.0
다바769337,32.0
다바775357,63.0
다바757347,57.0
다바815315,129.0
다바775343,30.0
다바784348,17.0
다바802402,96.0
다바764339,27.0
다바768342,45.0
다바794368,61.0
다바773312,7.0
다바762361,59.0
다바781351,8.0
다바776324,62.0
다바818441,44.0
다바797342,35.0
다바777350,71.0
다바801301,58.0
다바790347,54.0
다바782350,30.0
다바817437,56.0
다바785315,36.0
다바824316,112.0
다바818451,17.0
다바770343,51.0
다바818315,29.0
다바794367,56.0
다바770325,75.0
다바781324,18.0
다바832336,94.0
다바785349,111.0
다바792353,27.0
다바801296,10.0
다바779341,37.0
다바818454,29.0
다바816317,27.0
다바761340,96.0
다바775346,68.0
다바779340,46.0
다바792368,56.0
다바808466,6.0
다바821321,119.0
다바813436,53.0
다바827314,61.0
다바824445,8.0
다바773319,84.0
다바791368,69.0
다바777331,50.0
다바767342,60.0
다바775353,143.0
다바790353,20.0
다바764358,21.0
다바773332,135.0
다바833334,46.0
다바822441,7.0
다바880370,19.0
다바813308,68.0
다바782356,27.0
다바822319,31.0
다바780327,87.0
다바811309,55.0
다바759363,41.0
다바766342,60.0
다바808464,27.0
다바798341,86.0
다바819325,23.0
다바775309,94.0
다바793343,58.0
다바823314,57.0
다바800308,83.0
다바759362,40.0
다바773323,99.0
다바874369,44.0
다바787354,87.0
다바819316,134.0
다바823443,6.0
다바833337,109.0
다바780352,7.0
다바771347,67.0
다바774309,162.0
다바821324,122.0
다바781322,68.0
다바756348,72.0
다바761363,44.0
다바815432,8.0
다바769331,66.0
다바776316,19.0
다바770331,50.0
다바774323,87.0
다바780312,29.0
다바775322,72.0
다바769327,96.0
다바788349,63.0
다바792342,71.0
다바795367,73.0
다바834335,16.0
다바820325,89.0
다바780353,7.0
다바779336,99.0
다바774335,73.0
다바758348,111.0
다바774343,97.0
다바761338,28.0
다바810438,46.0
다바816439,45.0
다바811308,44.0
다바766344,81.0
다바783345,45.0
다바773354,30.0
다바826334,49.0
다바774348,98.0
다바775316,29.0
다바771340,39.0
다바777310,40.0
다바760364,28.0
다바808439,33.0
다바769341,37.0
다바809440,81.0
다바774338,81.0
다바762360,153.0
다바768355,109.0
다바820317,116.0
다바777325,58.0
다바694581,6.0
다바825314,87.0
다바820452,9.0
다바798303,13.0
다바771339,76.0
다바816432,30.0
