"","암호화요양기호","요양기관명","종별코드명","시도코드명","시군구코드명","진료과목코드명","과목별 전문의수","좌표(X)","좌표(Y)"
"1","JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz","가톨릭대학교인천성모병원","상급종합","인천","인천부평구","소아청소년과",11,126.7248987,37.4848309
"2","JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz","강릉아산병원","상급종합","강원","강릉시","소아청소년과",9,128.8578411,37.8184325
"3","JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz","강북삼성병원","상급종합","서울","종로구","소아청소년과",7,126.96775,37.5684083
"4","JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz","건국대학교병원","상급종합","서울","광진구","소아청소년과",10,127.0718276,37.5403764
"5","JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz","경북대학교병원","상급종합","대구","대구중구","소아청소년과",10,128.604703,35.8662525
"6","JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz","경상국립대학교병원","상급종합","경남","진주시","소아청소년과",7,128.0956717,35.1763252
"7","JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz","경희대학교병원","상급종합","서울","동대문구","소아청소년과",13,127.051852,37.5941195
"8","JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz","계명대학교동산병원","상급종합","대구","대구달서구","소아청소년과",13,128.4801315,35.8538856
"9","JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz","고려대학교의과대학부속구로병원","상급종합","서울","구로구","소아청소년과",16,126.8848701,37.492052
"10","JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz","고려대학교의과대학부속안산병원","상급종합","경기","안산단원구","소아청소년과",17,126.8249033,37.3185144
"11","JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz","단국대학교의과대학부속병원","상급종합","충남","천안동남구","소아청소년과",13,127.172575,36.8415904
"12","JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz","대구가톨릭대학교병원","상급종합","대구","대구남구","소아청소년과",14,128.5679969,35.8436078
"13","JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz","동아대학교병원","상급종합","부산","부산서구","소아청소년과",7,129.0175391,35.1201682
"14","JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz","부산대학교병원","상급종합","부산","부산서구","소아청소년과",9,129.0188032,35.1008477
"15","JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz","분당서울대학교병원","상급종합","경기","성남분당구","소아청소년과",21,127.1232509,37.3519807
"16","JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz","삼성서울병원","상급종합","서울","강남구","소아청소년과",54,127.0851508,37.4882977
"17","JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz","서울대학교병원","상급종합","서울","종로구","소아청소년과",68,126.9990168,37.5797151
"18","JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz","순천향대학교부속 천안병원","상급종합","충남","천안동남구","소아청소년과",17,127.1358588,36.8027381
"19","JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNzEjJDEjJDgjJDgz","순천향대학교부속부천병원","상급종합","경기","부천시","소아청소년과",16,126.7629626,37.4986998
"20","JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz","아주대학교병원","상급종합","경기","수원영통구","소아청소년과",25,127.0476764,37.2793927
